City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
22,Shahreza,32.0339,51.8794,42.55,31,3,0.92,IR,2021-12-04 22:48:36
23,Dabat,12.9842,37.765,53.37,39,0,2.86,ET,2021-12-04 22:48:36
24,Manzhouli,49.6,117.4333,20.82,77,100,20.11,CN,2021-12-04 22:48:36
25,Poronaysk,49.2167,143.1167,2.95,88,49,7.23,RU,2021-12-04 22:48:36
26,Busselton,-33.65,115.3333,63.99,53,1,11.18,AU,2021-12-04 22:48:37
27,Qaanaaq,77.484,-69.3632,0.39,64,63,7.27,GL,2021-12-04 22:48:37
28,Port Alfred,-33.5906,26.891,68.04,95,100,23.26,ZA,2021-12-04 22:46:16
29,Thompson,55.7435,-97.8558,-7.44,84,75,4.61,CA,2021-12-04 22:48:37
30,Bandarbeyla,9.4942,50.8122,74.79,68,28,14.56,SO,2021-12-04 22:47:52
31,Chlorakas,34.8042,32.4083,63.63,73,34,6.91,CY,2021-12-04 22:48:38
32,Vaini,-21.2,-175.2,84.36,74,40,12.66,TO,2021-12-04 22:48:38
33,Chuy,-33.6971,-53.4616,64.04,91,100,7.52,UY,2021-12-04 22:45:50
34,Tual,-5.6667,132.75,81.03,84,100,13.67,ID,2021-12-04 22:48:38
35,Hilo,19.7297,-155.09,69.24,93,90,3.44,US,2021-12-04 22:47:54
36,Tasiilaq,65.6145,-37.6368,28.56,88,100,41.47,GL,2021-12-04 22:48:39
37,Kutum,14.2,24.6667,67.44,26,0,8.34,SD,2021-12-04 22:48:39
38,Saint-Philippe,-21.3585,55.7679,76.55,83,29,9.28,RE,2021-12-04 22:48:39
39,Mar Del Plata,-38.0023,-57.5575,62.1,82,75,1.01,AR,2021-12-04 22:48:40
40,Cherskiy,68.75,161.3,-36.78,100,43,2.71,RU,2021-12-04 22:48:40
41,Saldanha,-33.0117,17.9442,60.85,89,100,9.78,ZA,2021-12-04 22:48:40
42,Prudentopolis,-25.2131,-50.9778,70.18,58,82,1.01,BR,2021-12-04 22:48:41
43,Georgetown,5.4112,100.3354,78.89,86,20,8.99,MY,2021-12-04 22:48:41
44,Great Yarmouth,52.6083,1.7305,41.95,90,89,14.94,GB,2021-12-04 22:48:41
45,Esperance,-33.8667,121.9,57.04,70,47,10.85,AU,2021-12-04 22:49:42
46,Dingle,10.9995,122.6711,73.96,90,55,10.13,PH,2021-12-04 22:49:42
47,Ullapool,57.8987,-5.1604,40.35,77,97,9.84,GB,2021-12-04 22:49:42
48,Kokopo,-4.352,152.2633,83.8,69,99,1.34,PG,2021-12-04 22:49:43
49,Nanortalik,60.1432,-45.2371,35.11,97,98,27.81,GL,2021-12-04 22:49:43
50,Faanui,-16.4833,-151.75,81.23,68,50,13.38,PF,2021-12-04 22:49:43
51,Torbay,47.6666,-52.7314,29.75,56,40,27.63,CA,2021-12-04 22:49:44
52,Maldonado,-34.6667,-54.9167,69.19,81,77,8.72,UY,2021-12-04 22:49:44
53,Gao,16.6362,1.637,74.39,13,12,10.71,ML,2021-12-04 22:49:44
