City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Rawson,AR,-43.3002,-65.1023,64.81,58,29,14.47,scattered clouds
209,Lompoc,US,34.6391,-120.4579,79.09,77,1,21.0,clear sky
210,Barcelona,ES,41.3888,2.159,47.86,60,0,1.99,clear sky
211,East London,ZA,-33.0153,27.9116,68.79,94,100,4.61,overcast clouds
212,Prado,BR,-17.3411,-39.2208,75.0,87,0,6.06,clear sky
213,Meulaboh,ID,4.1363,96.1285,75.85,87,93,3.69,overcast clouds
214,Hay River,CA,60.8156,-115.7999,-16.62,76,1,4.61,clear sky
215,Desna,UA,50.9273,30.7605,29.8,93,100,8.61,light snow
216,Kemijarvi,FI,66.7131,27.4306,-0.22,97,20,3.58,few clouds
217,Mildura,AU,-34.2,142.15,73.36,18,56,0.0,broken clouds
218,Banmankhi,IN,25.8833,87.1833,66.99,77,65,4.85,broken clouds
219,Lagoa,PT,39.05,-27.9833,63.07,75,84,11.9,broken clouds
220,Yabelo,ET,4.8833,38.0833,58.17,57,24,13.67,few clouds
221,Skibbereen,IE,51.55,-9.2667,44.4,96,100,14.76,overcast clouds
222,Lorengau,PG,-2.0226,147.2712,86.27,72,65,16.33,light rain
223,Emerald,AU,-23.5333,148.1667,80.74,69,40,9.22,scattered clouds
224,Nishihara,JP,26.1842,127.7558,69.08,64,40,14.97,scattered clouds
225,Sorland,NO,67.667,12.6934,26.83,65,76,10.69,broken clouds
226,Port Hedland,AU,-20.3167,118.5667,96.85,20,98,17.27,overcast clouds
227,Nuuk,GL,64.1835,-51.7216,27.21,74,75,25.32,light snow
228,Zvenigovo,RU,55.9742,48.0181,18.55,81,81,5.84,broken clouds
229,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,73.96,79,99,5.01,overcast clouds
230,Whitehorse,CA,60.7161,-135.0538,-6.9,76,40,18.01,scattered clouds
231,Timra,SE,62.487,17.3257,14.68,74,90,13.8,light snow
232,Salto Del Guaira,PY,-24.0625,-54.3069,80.1,71,61,4.45,broken clouds
233,Khatanga,RU,71.9667,102.5,-22.14,100,97,6.8,overcast clouds
234,Tete,MZ,-16.1564,33.5867,82.69,38,27,5.44,scattered clouds
235,Faya,SA,18.3851,42.4509,53.71,70,0,1.79,clear sky
